removal_date,removal_week,sample_ID,pot,code,count,germination_round,pin_color,emergence_week,method_of_removal_D_TR_TH,notes
4/22/25,1,t1_1,1,M1,1,1,blue,1,TR,
4/22/25,1,t1_2,2,M1,2,1,blue,1,TH,
4/22/25,1,t1_3,2,D1,2,1,blue,1,TR,
4/22/25,1,t1_4,4,M1,1,1,blue,1,TH,
4/22/25,1,t2_3,8,M1,1,1,blue,1,TH,
4/22/25,1,t2_4,9,D2,2,1,blue,1,TH,
4/22/25,1,t2_5,10,D2,3,1,blue,1,TH,
4/29/25,2,t1_1,1,M2,10,1,red,2,TR,
4/29/25,2,t1_2,1,M1,2,1,red,2,TH,
4/29/25,2,t1_3,3,M1,5,1,red,2,TH,
4/29/25,2,t1_4,4,M1,2,1,red,2,TH,
4/29/25,2,t1_5,4,D1,2,1,red,2,TH,
4/29/25,2,t2_2,9,M1,2,1,red,2,TH,
4/29/25,2,t2_3,9,M2,4,1,red,2,TH,
4/29/25,2,t2_4,9,D1,2,1,red,2,TH,
4/29/25,2,t2_5,10,M1,4,1,red,2,TH,
5/6/25,3,t1_3,3,M1,1,1,yellow,3,TH,
5/6/25,3,t1_5,5,M2,1,1,yellow,3,TH,
5/6/25,3,cc_1,11,D3,1,1,yellow,3,TR,
5/13/25,4,t2_1,6,M2,1,1,orange,4,TH,
5/13/25,4,t2_3,8,M2,1,1,orange,4,TH,
5/13/25,4,t2_4,9,M2,1,1,orange,4,TH,
5/13/25,4,t2_5,9,D2,2,1,orange,4,TH,
5/20/25,5,t2_2,7,M2,1,1,black,5,TH,
5/20/25,5,t2_3,7,D1,3,1,black,5,TH,
5/20/25,5,cc_2,12,D3,2,1,black,5,TH,